ID;E;H
336;=IF.SIM+CH.L-X71;=IF.SIM+ST.IF2-X71
337;=IF.SIM+CH.L-X75;=IF.SIM+ST.IF2-X75
338;=IF+CH.L-X100;=LF.PM+BG.PA0-T200:X7
339;=IF+CH.L-X101;=LF.PM+BG.PA1-T202:X7
340;=IF+CH.L-X102;=LF.PM+BG.PA2-T204:X7
341;=IF+CH.L-X103;=LF.PM+BG.PA3-T206:X7
342;=IF+CH.L-X104;=LF.PM+BG.PA3-T208:X7
343;=PE+CH.L-X1;=PE+CH.FR2-X2.29
344;=PE+CH.L-X2;=PE+CH.FR2-X2.30
345;=MD.GA+CH.M-B1;=CT+CH.EP2-K1:IN1
346;=PE+CH.M-X1;=PE+CH.RP07-X3
347;=SLRC-A5;=IF.M1C+ST.IF2-X34
348;=SLRC-A5;=IF.M1C+ST.IF2-X35
349;=SLRC-A5;=IF.M1F+ST.IF2-X40
350;=SLRC-A5;=IF.M1F+ST.IF2-X41
351;=SLRC-A5;=IF.M3+ST.IF3-X82
352;=SLRC-A5;=IF.M3+ST.IF3-X83
353;=SLRC-A6;=IF.M3+ST.IF3-X84
354;=SLRC-A6;=IF.M3+ST.IF3-X85
355;=SLRC-A6;=IF.SIM+ST.IF2-X47
356;=SLRC-A6;=IF.SIM+ST.IF2-X76
357;=SLRC-A6;=IF.SIM+ST.IF3-X86
358;=SLRC-A6;=IF.SIM+ST.IF3-X87
359;=EP+HTCP-X1:A;=SLRC-H3
360;=EP+HTCP-X1:B;=BSSR1-S01-SFP10
361;=EP+HTCP-X10:A;=MSW2-X19
362;=EP+HTCP-X100:A;=CT+HPDLMC-IF6.X15
363;=EP+HTCP-X230;=EP.CT+HPDLMC-IF1.X1
364;=ASP+CH.E-X1;=EP.CT+HPDLMC-IF1.X10
365;=ASP+CH.E-X2;=SLRC-D6
366;=TSBR+CH.E-X600;=PA0+1-X600
367;=TSBR+CH.E-X601;=PA1+1-X600
368;=TSBR+CH.E-X602;=PA2+1-X600
369;=TSBR+CH.E-X603;=PA3+1-X600
370;=TSBR+CH.E-X610;=EP+HPDLMC-IF5.X6
371;=TSBR+CH.E-X611;=EP+TRUC-IF1.X12
372;=ASP+CH.K-X1;=EP.EC+HPDLMC-IF1.X3
373;=TSNI+CH.K-X10;=CT+HPDLMC-IF6.X1
374;=TSNI+CH.K-X20;=CT+HPDLMC-IF7.X6
375;=TSNI+CH.K-X67;=SLRC-B1
376;=TSNI+CH.K-X68;=SLRC-B2
377;=ASP+CH.K-X2;=SLRC-D5
378;=TSNI+CH.K-X30;=SLRC-D5
379;=TSNI+CH.K-X40;=SLRC-D5
380;=PA0+1-X600;=TSBR+CH.E-X600
381;=PA0+1-XPE1;=PE+CH.E-X3
382;=PA0+1-XPE2;=PA0+RF01-X11
383;=PA0+10-X1;=PA0+RF01-X1
384;=PA0+10-X2;=PA0+RF01-X2
385;=PA0+10-X3;=PA0+RF01-X3
386;=PA0+10-X4;=PA0+RF01-X4
387;=PA0+19-X1;=PA0+5-X1
388;=PA0+19-X19.1;=PA0+19-X19.2
389;=PA0+19-X5;=EP+CH.B-X1
390;=PA0+22-X1;=CT+TRUC-IF1.X8
391;=PA0+22-X2;=PA1+22-X1
392;=PA0+22-X3;=SY.EMO+HPDLMC-IF3.X1
393;=PA0+23-LT1;=PA0+23-X4
394;=PA0+23-X4;=PA0+23-LT1
395;=PA0+30-X10;=PA0+RF01-X31
396;=PA0+30-X101;=CT+HPDLMC-IF6.X10
397;=PA0+30-X102;=PA0+RF01-X35
398;=PA0+30-X103;=PA0+RF01-X36
399;=PA0+30-X70;=CT+TRUC-IF1.X6
400;=PA0+30-X71;=PA1+30-X70
401;=PA0+30-X80;=CT+TRUC-IF1.X4
402;=PA0+30-X81;=PA1+30-X80
403;=PA0+60-X1;=CT+HPDLMC-IF7.X2
404;=PA0+60-X55;=SLRC-D2
405;=PA1+1-X600;=TSBR+CH.E-X601
406;=PA1+1-XPE1;=PE+CH.B-X2
407;=PA1+1-XPE2;=PA1+RF11-X11
408;=PA1+10-X1;=PA1+RF11-X1
409;=PA1+10-X2;=PA1+RF11-X2
410;=PA1+10-X3;=PA1+RF11-X3
411;=PA1+10-X4;=PA1+RF11-X4
412;=PA1+19-X1;=PA1+5-X1
413;=PA1+19-X19.1;=PA1+19-X19.2
414;=PA1+19-X5;=EP+CH.A-X1
415;=PA1+22-X1;=PA0+22-X2
416;=PA1+22-X2;=SY.EMO+HPDLMC-IF3.X2
417;=PA1+22-X2;=PA2+22-X1
418;=PA1+23-LT1;=PA1+23-X4
419;=PA1+23-X4;=PA1+23-LT1
420;=PA1+30-X10;=PA1+RF11-X31
421;=PA1+30-X101;=CT+HPDLMC-IF6.X11
422;=PA1+30-X103;=PA1+RF11-X35
423;=PA1+30-X103;=PA1+RF11-X36
424;=PA1+30-X70;=PA0+30-X71
425;=PA1+30-X71;=PA2+30-X70
426;=PA1+30-X80;=PA0+30-X81
427;=PA1+30-X81;=PA2+30-X80
428;=PA1+60-X1;=CT+HPDLMC-IF7.X3
429;=PA1+60-X55;=SLRC-D3
430;=PA2+1-X600;=TSBR+CH.E-X602
431;=PA2+1-XPE1;=PE+CH.I-X2
432;=PA2+1-XPE2;=PA2+RF21-X11
433;=PA2+1-XPE3;=PA2+RF22-X11
434;=PA2+10-X1;=PA2+RF21-X1
435;=PA2+10-X2;=PA2+RF21-X2
436;=PA2+10-X3;=PA2+RF21-X3
437;=PA2+10-X4;=PA2+RF21-X4
438;=PA2+11-X1;=PA2+RF22-X1
439;=PA2+11-X2;=PA2+RF22-X2
440;=PA2+11-X3;=PA2+RF22-X3
441;=PA2+11-X4;=PA2+RF22-X4
442;=PA2+19-X1;=PA2+5-X1
443;=PA2+19-X19.1;=PA2+19-X19.2
444;=PA2+19-X5;=EP+CH.K-X1
445;=PA2+22-X1;=PA1+22-X2
446;=PA2+22-X2;=PA3+22-X1
447;=PA2+22-X3;=SY.EMO+HPDLMC-IF3.X3
448;=PA2+23-LT1;=PA2+23-X4
449;=PA2+23-X4;=PA2+23-LT1
450;=PA2+30-X10;=PA2+RF21-X31
451;=PA2+30-X103;=CT+HPDLMC-IF6.X12
452;=PA2+30-X104;=PA0+RF01-X35
453;=PA2+30-X105;=PA2+RF22-X35
454;=PA2+30-X106;=PA0+RF01-X35
455;=PA2+30-X70;=PA1+30-X71
456;=PA2+30-X71;=PA3+30-X70
457;=PA2+30-X80;=PA1+30-X81
458;=PA2+30-X81;=PA3+30-X80
459;=PA2+60-X1;=CT+HPDLMC-IF7.X4
460;=PA2+60-X55;=SLRC-E1
461;=PA3+1-X600;=PA3+1-X600
462;=PA3+1-XPE1;=PA3+1-XPE1
463;=PA3+1-XPE2;=PA3+1-XPE2
464;=PA3+1-XPE3;=PA3+1-XPE3
465;=PA3+10-X1;=PA3+10-X1
466;=PA3+10-X2;=PA3+10-X2
467;=PA3+10-X3;=PA3+10-X3
468;=PA3+10-X4;=PA3+10-X4
469;=PA3+11-X1;=PA3+11-X1
470;=PA3+11-X2;=PA3+11-X2
471;=PA3+11-X3;=PA3+11-X3
472;=PA3+11-X4;=PA3+11-X4
473;=PA3+19-X1;=PA3+19-X1
474;=PA3+19-X19.1;=PA3+19-X19.1
475;=PA3+19-X5;=PA3+19-X5
476;=PA3+22-X1;=PA3+22-X1
477;=PA3+22-X2;=PA3+22-X2
478;=PA3+22-X2;=PA3+22-X2
479;=PA3+23-LT1;=PA3+23-LT1
480;=PA3+23-X4;=PA3+23-X4
481;=PA3+30-X10;=PA3+30-X10
482;=PA3+30-X103;=PA3+30-X103
483;=PA3+30-X104;=PA3+30-X104
